step,loss
1,4.3018126
2,4.2792077
3,4.2999544
4,4.2673883
5,4.2703705
6,4.2352915
7,4.201005
8,4.151124
9,4.134453
10,4.1183147
11,4.135417
12,4.039607
13,4.0143766
14,4.022939
15,4.0342617
16,3.9949746
17,3.9698248
18,3.964921
19,3.9198515
20,3.9161334
21,3.8577719
22,3.8412457
23,3.836204
24,3.8152275
25,3.764461
26,3.7723382
27,3.7099829
28,3.708234
29,3.7215047
30,3.6538694
31,3.6287951
32,3.6440163
33,3.6294775
34,3.5529625
35,3.5401812
36,3.4687295
37,3.4983435
38,3.51985
39,3.518807
40,3.4072206
41,3.4211726
42,3.4067748
43,3.3772624
44,3.4501717
45,3.32329
46,3.3470209
47,3.3844361
48,3.3574924
49,3.3449926
50,3.3354454
51,3.3124819
52,3.3476028
53,3.3790548
54,3.3040557
55,3.2121649
56,3.214028
57,3.2258606
58,3.332309
59,3.2186747
60,3.2750459
61,3.239305
62,3.3096185
63,3.3422093
64,3.2249427
65,3.2983518
66,3.2622068
67,3.2771125
68,3.165566
69,3.2386575
70,3.2437718
71,3.2048328
72,3.1356163
73,3.1907573
74,3.1631079
75,3.2399147
76,3.3030472
77,3.1209981
78,3.1587565
79,3.2160912
80,3.1116133
81,3.2247438
82,3.1964667
83,3.1001747
84,3.184782
85,3.0844312
86,3.139326
87,3.1750705
88,3.1549063
89,3.1891131
90,3.1427894
91,3.1802638
92,3.1217537
93,3.1075218
94,3.1470358
95,3.1232615
96,3.172068
97,3.1237154
98,3.1876888
99,3.104375
100,3.0857759
101,3.1628733
102,3.085026
103,3.0799413
104,3.1363554
105,3.0229402
106,3.0245504
107,3.0153694
108,3.1217506
109,3.1183121
110,3.1512399
111,3.1226597
112,3.028533
113,3.0640585
114,3.1681585
115,3.1006014
116,2.9734712
117,3.1142561
118,3.024851
119,3.0795457
120,3.0730386
121,2.9798489
122,3.070772
123,2.988604
124,3.0269127
125,2.9690309
126,3.0563881
127,3.027148
128,2.9990945
129,3.0313873
130,3.0287364
131,2.97502
132,2.8807662
133,2.9976327
134,3.015575
135,2.971282
136,3.079062
137,2.9662282
138,2.9742799
139,2.9550614
140,3.0025494
141,2.9720619
142,2.9590976
143,2.9934187
144,2.8842964
145,2.9048367
146,2.9391956
147,2.955955
148,2.9596066
149,2.9193027
150,2.9237964
151,2.9176302
152,2.93156
153,2.9437408
154,3.014954
155,2.952098
156,2.9547763
157,2.964063
158,2.8679733
159,2.9198475
160,2.857016
161,2.9083624
162,2.8842363
163,2.9034927
164,2.9328232
165,2.9778993
166,2.8620148
167,2.8382401
168,2.9161305
169,2.9027324
170,2.8329988
171,2.8609855
172,2.827632
173,2.889306
174,3.014748
175,2.82271
176,2.9388468
177,2.8690114
178,2.7626595
179,2.9837675
180,2.8000414
181,2.8556087
182,2.8850708
183,2.8108358
184,2.7372572
185,2.8142598
186,2.8989496
187,2.8375459
188,2.8697836
189,2.833037
190,2.8084688
191,2.848928
192,2.8012302
193,2.7928853
194,2.8761606
195,2.7795467
196,2.856997
197,2.7561715
198,2.8895855
199,2.8646944
200,2.859389
201,2.833046
202,2.8659525
203,2.7578616
204,2.8223019
205,2.7304726
206,2.8437033
207,2.7767644
208,2.7833872
209,2.7537904
210,2.8101554
211,2.873995
212,2.8137126
213,2.7272224
214,2.7527452
215,2.842929
216,2.8141627
217,2.7882886
218,2.7892456
219,2.7236154
220,2.7693224
221,2.7791276
222,2.7110825
223,2.706643
224,2.7869766
225,2.788287
226,2.6575289
227,2.9019768
228,2.7769244
229,2.7609012
230,2.8040447
231,2.7829797
232,2.7643123
233,2.763834
234,2.796123
235,2.7433977
236,2.7238405
237,2.7960691
238,2.7283788
239,2.8214993
240,2.7638495
241,2.765619
242,2.8050117
243,2.828795
244,2.7640371
245,2.8024244
246,2.7349217
247,2.6416101
248,2.75535
249,2.718468
250,2.6453247
251,2.7712493
252,2.6525784
253,2.7316163
254,2.6819446
255,2.62632
256,2.783226
257,2.6386237
258,2.6794982
259,2.7050748
260,2.7421544
261,2.7491212
262,2.715708
263,2.723311
264,2.780007
265,2.6407552
266,2.6900022
267,2.7139244
268,2.757947
269,2.6686296
270,2.7848568
271,2.7082748
272,2.7686028
273,2.7357132
274,2.6457458
275,2.7098374
276,2.7414284
277,2.7407708
278,2.6552577
279,2.6869888
280,2.7160265
281,2.6898355
282,2.7667987
283,2.7108371
284,2.679708
285,2.7251043
286,2.6473973
287,2.7548728
288,2.6845026
289,2.7363644
290,2.7803633
291,2.7407637
292,2.6879692
293,2.730174
294,2.6613154
295,2.6390455
296,2.668456
297,2.5869453
298,2.676336
299,2.67207
300,2.6804612
301,2.66019
302,2.6651158
303,2.7215507
304,2.6296852
305,2.6289542
306,2.5882277
307,2.6550736
308,2.64683
309,2.68373
310,2.6984842
311,2.7076826
312,2.676238
313,2.6232114
314,2.7351937
315,2.6903775
316,2.5823152
317,2.7542577
318,2.6371214
319,2.6220665
320,2.5567286
321,2.6908786
322,2.6576538
323,2.6722283
324,2.6414948
325,2.69807
326,2.734428
327,2.687471
328,2.7300453
329,2.6486168
330,2.6380525
331,2.6320474
332,2.6461282
333,2.6599312
334,2.6325321
335,2.663585
336,2.5979428
337,2.6754675
338,2.6664772
339,2.6510234
340,2.606207
341,2.648326
342,2.7000022
343,2.663731
344,2.6233473
345,2.5749536
346,2.5800536
347,2.7494714
348,2.663928
349,2.6542933
350,2.6864836
351,2.6495705
352,2.63568
353,2.6682405
354,2.669534
355,2.6239705
356,2.6550674
357,2.651198
358,2.5963492
359,2.6308455
360,2.6783376
361,2.630563
362,2.6504924
363,2.6610754
364,2.6488528
365,2.615182
366,2.6141171
367,2.5971675
368,2.6627116
369,2.5979714
370,2.7100067
371,2.5904605
372,2.6005404
373,2.6505332
374,2.6862264
375,2.585518
376,2.580409
377,2.5876245
378,2.6045685
379,2.5737185
380,2.6362092
381,2.6154969
382,2.6636453
383,2.5960405
384,2.6459172
385,2.5759532
386,2.6201243
387,2.6572843
388,2.62507
389,2.6433122
390,2.6371615
391,2.6092796
392,2.581871
393,2.5833335
394,2.6139865
395,2.5718217
396,2.541041
397,2.575345
398,2.5500956
399,2.626227
